index,product,sub_category,brand,sale_price,market_price,type,rating,Quantity,description
338,Radiance Boost Orange Aroma Mask,Skin Care,Organic Harvest,127.125,141.25,Face Care,2.5,135,"Uplift the skin freshness with the Radiance Boost Organic Serum Mask. The oatmeal extract helps absorb natural skin oils and gives the skin a clean look. Aloe Vera is a great antioxidant and protects the skin from oxidative damages thus encouraging a radiant and natural glow. Aloe vera extract aids in locking in the moisture and gives the skin a radiant glow. Due to the exfoliating properties of yoghurt, the skin is transformed from being dry and dull to lighter and softer. Rich in vitamin B, keeps skin glowing and hydrated and aids in regeneration. The cheerful and uplifting fragrance of orange adds to the radiance by uplifting your mood."
339,Muffin/Cup Cake Vanilla 200 g + Choco Chip 200 g (Pack of 4 each),Cakes & Pastries,Fresho Signature,359.34,359.34,Muffins & Cup Cakes,,57,"Fresho Signature Muffin/Cup Cake - Vanilla 200 g (Pack of 4)
Moist and delicious in flavours of vanilla. Enjoy it with family and friends. It is ideal for bonding over tea. A good muffin is ideal for tea time. The muffins are fresh and true to their brand name. Made with premium quality ingredients, the taste is surely going to tame your tastebuds. 
Enjoy this sweet delight and say bye to small hunger pangs.  
Fresho Signature Muffin/Cup Cake - Choco Chip 200 g (Pack of 4)
These classic muffins have a delicious twist: chocolate chips, instant coffee and a crunchy brown topping. They are great first thing in the morning or served as a coffee break snack. Made with premium quality ingredients, the taste is surely going to tame your tastebuds. 
Enjoy this sweet delight and say bye to small hunger pangs."
340,Masala Oats - Veggie Twist,Snacks & Namkeen,Saffola,203.4,220.35,Oats & Porridge,4.2,125,"Saffola Masala Oats has a burst of flavours and are made from 100% natural wholegrain oats along with real vegetables and the choicest of masalas. Eating Saffola Masala Oats as part of your daily routine is not just fantastically healthy and delicious, but also requires minimal effort for preparation; ready in 3 minutes. It satisfies the cravings for those savoury flavours as a breakfast cereal or during different times of the day."
341,Sunscreen Cream - Sunblock Anti Aging SPF UV 60,Skin Care,Soft Touch,536.75,536.75,Face Care,4.5,175,"Excellent for Sensitive Oily and combination skin types as well as universally accepted for skin of any colour, Soft Touch Perfect Sunblock SPF 60 provides up to 60 times the protection to the bare skin and physical barrier against UVA/UVB and Infrared rays to prevent Sunburn, Skin damage, freckling and uneven colouration.  For Beauty tips, tricks & more visit https://abcd.blog/"
342,Sunblock Lotion,Skin Care,Aroma Magic ,201.705,237.3,Face Care,4.1,157,"100 % free of oxybenzone, paraben, harsh chemicals, alcohol and artificial fragrance. My all-mineral, ultra effective formula creates a physical barrier between you and the sun. Non-greasy, skin friendly and enriched with carrot seed, wheat germ and jojoba oils. They provide natural sun safety, Vitamins B5, C, E and prevent visible signs of ageing. Notes of helichrysum, calendula and roman chamomile essential oils heal scars and mattify your skin. The non-nano Zinc Oxide in me is a mineral reflector found in nature that scatters harmful rays. Green tea extracts promote elasticity and provide smart sun protection."
343,Copper Water Fliptop Bottle - Stripes,Steel Utensils,Frestol,620.37,1467.87,Copper Utensils,2.4,202,"Frestol sipper bottle Sipper is made of pure copper. Drinking water stored in copper bottles is strongly recommended by Science and Ayurveda because water stored in a copper bottle is loaded with anti-oxidants. Just fill this bottle and leave it for a minimum 3 hours, best if kept overnight as the water gets copper properties and its benefits during this time. Copper kills undesirable bacteria and germs and gets water charged with the health-benefiting qualities of copper. It is recommended to drink the water at room temperature, experts say that drinking from a copper water bottle on a regular basis, especially early in the morning, can make a significant difference to health."
344,For Men Evolution Eau De Toilette,Fragrances & Deos,Jaguar,2147.904,3729,Eau De Toilette,,59,"Bergamot, mint, orange and basil open the composition and with the fresh, aromatic start announce a blend of clary sage, cardamom, apple and lavender in the heart. Base notes cuddle and warm us subtly with amber, sandalwood and musk"
345,"Long & Black Shampoo - With Goodness Of Amla & Bhringraj, For Shiny, Black Hair",Hair Care,Dabur Vatika,193.23,214.7,Shampoo & Conditioner,4.2,40,"New Dabur Vatika Naturals Long & Black Shampoo, with the goodness of Satt Poshan Seven Natural Ingredients – Amla, Bhringaraj, Shikakai, Reetha, Black Olive, Almond, Reetha. The shampoo with seven natural ingredients helps to maintain shiny smooth hair, providing gentle cleansing, conditioning and nourishment to hair."
346,Toothpaste - Complete Care,Oral Care,Neem ,73.45,90.4,Toothpaste,4.3,15,"Neems anti-bacterial properties make it natures most effective germ fighter. Neem Active Complete Care Toothpaste with the naturally enriched power of neem helps preveny cavities, bleeding gums and inflammation. Its unique formulation combined with mint ensures fresh breath for hours. Use daily for strong healthy gums."
347,Olive Oil - Pomace,Oils & Vinegar,Oleiva Gold,3762.9,3762.9,"Pure, Pomace Olive Oil",3.5,175,Premium quality Olive oil from selected hand picked Olives from Spain.
348,Glass Set - Solo Shot Bar,Crockery & Cutlery,Ocean,654.27,1003.44,Glassware,,209,"Ocean Solo Shot Bar Glass - Set of TwelveIf you are planning to throw your birthday party at home then serve your favorite wine or other alcohol in this specially designed Ocean Solo Shot Bar Glass Set. Made of fine quality glass material, these votive style twelve shot bar glasses are freezer and dishwasher-safe. Smart design with a dimension of 3 x 2 x 3 inches lets you enjoy a satisfactory quantity of neat alcohol at a time."
349,Bonacure Conditioner - Repair Rescue,Hair Care,Schwarzkopf Professional,1017,1017,Shampoo & Conditioner,5,161,"Schwarzkopf Professional Bonacure Repair Rescue Conditioner is a light conditioner that will mildly replenish your damaged hair without weighing it down. It strengthens hair from its roots making them more elastic. It is ideal for damaged, porous, over processed hair. The best conditioner to keep your hair healthy and good looking.For Beauty tips, tricks & more "
350,Vegan Chipotle Mayo - Dairy-Free,"Sauces, Spreads & Dips",Urban Platter,375.725,395.5,Salad Dressings,3.4,58,"Rich mayo with a smoky kick of chilli and red paprika, it's a savoury mixture of spicy, cool, earthy, and smoky flavours that become an excellent spread for burgers, or a dip for fries, chips, and veggies.
Build a delicious sandwich, potato salad, or the freshest, savoury sauces and dressings. Vegan Chipotle Mayo is India's first 100% vegan and non-dairy mayo. It is trans-fat free and palm oil free.Urban Platter - Simply Good Food! :)"
351,Blueberry,Fresh Fruits,Fresho,372.9,473.1875,Exotic Fruits,,154,"Plump, smooth-skinned and indigo coloured perfect little globes of juicy berries have mostly sweet and slightly tart flavour. We have imported this fine quality, delicious tasting variety of blueberries. Do not forget to check our delicious fruit recipe - https://www.abcd.com/cookbook/recipes/564/blueberry-mousse/"
352,"Oregano - Organic, USDA Certified",Cooking & Baking Needs,Geo-Fresh,111.87,111.87,"Herbs, Seasonings & Rubs",4.2,50,"Geo Fresh presents their healthy and nutritious range of organic Ayurvedic ingredients which are packed with essential nutrients that are bound to boost your immunity, leave you energised and provide you with all the health benefits you need that require you to go on for a healthy living. The impressive health benefits of Oregano include its ability to protect the immune system, prevent the onset of chronic disease, improve digestion, detoxify the body, strengthen the bones, improve heart health, increase energy levels, and even protect against diabetes."
353,Chunky Salsa - Mild,"Sauces, Spreads & Dips",Cornitos,158.4825,186.45,"Hummus, Cheese, Salsa Dip",,229,"All natural, juicy red tomatoes, jalapenos, onion/garlic, bell peppers, no MSG"
354,Multigrain Energy Bar - Nuts n Seed,"Snacks, Dry Fruits, Nuts",Yoga bar,45.2,45.2,Cereal & Granola Bars,4,149,"Yogabar's Energy Bars contain a nutrient dense primary ingredient that is generally whole grains, nuts or seeds. The bar contains 25 - 30% Whole grains & complex carbs, derived from Brown rice, Oats, Buckwheat, etc. 10 - 15% Nuts, that is generally Almonds, Cashews or Peanuts, as they provide all round more protein and fiber. Lastly, it contains 10 - 15% Seeds, which are generally Flax, Chia, Sunflower, etc. 
The bars contain no corn syrup, artificial sweeteners or hydrogenated oils. It also contains no artificial preservatives, as Yoga Bar chooses to focus on the long term health of their consumers, rather than a product that can last years on the shelf."
355,Active Fresh Gel Toothpaste,Oral Care,Himalaya,50.85,56.5,Toothpaste,4.3,42,Himalayas Active Fresh toothpaste is filled with energising herbal ingredients that guarantee long-lasting fresh breath. Menthol is a normal revitalizing agent. Indian Dil prevents mouth odour while Clove and Fennel are efficient natural astringents that tighten gums.
356,Hydro Replenish Radiance Day Crème with SPF 15,Skin Care,Kaya Youth,117.859,168.37,Face Care,4.3,227,"Hydration is a must for skin! With time, our skin cells lose the capacity to retain hydration, leading to dull, tired and dry skin. Kaya Youth Hydro Replenish, enriched with pure Aloe Vera gel is developed by dermatologists and deep hydrates the skin to lock in hydration for upto 24 hours, giving you healthy, radiant skin! Kaya Youth Radiance Day Crème with SPF 15 has a gentle, lightweight formulation and is enriched with Aloe Hydro Lock Complex. SPF 15 protects skin from harmful UV rays and provides everyday sun protection.
The pure Aloe Vera gel helps in locking hydration and helps in removing dryness, keeping skin healthy and radiant. For best results apply pure Aloe Vera enriched crème twice to clean face and neck. The day cream is free from paraben and harmful chemicals and is suitable for all skin types. Developed by dermatologists, this aloe vera day cream is non-sticky, has a quick-absorbing texture and is ideal for daily use. Enjoy rejuvenated, youthful, bouncy skin with a dewy glow everyday – Try out the New Kaya Youth Hydro Replenish Radiance Day Crème. Also check out other hydrating Kaya Youth products for a complete skin health regime – Hydro Replenish Gentle Face wash, Ultimate Hydration Sleeping pack, Under-eye recovery gel, Light Pure Aloe Vera Gel and Refreshing Face Mist!"
357,Anti-Hair Fall Shampoo,Hair Care,Himalaya,139.555,146.9,Shampoo & Conditioner,4.2,248,Anti-Hair Fall Shampoo reduces the hair fall and promotes hair growth. It is a breakthrough 2-in-1 formula that reduces hair fall and provides nourishment to hair shafts. It also conditions and improves your hair texture to reduce hair fall due to breakage. The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall.
358,"Cereal - Ragi, Rice & Mango With Milk",Baby Food & Formula,Slurrp Farm,339,339,Organic Baby Food,4,42,"This cereal is made with Slurrp Farm's Organic Grain Blend consisting of Ragi, Jowar & Rice along with Oats, Organic Brown Sugar and Natural Mango Powder. This super healthy cereal will provide all the essential nutrients to your little ones."
359,Fenugreek/Methi/Menthya,Masalas & Spices,bb Popular,20.792,33.9,Whole Spices,4.1,56,"Fenugreek is primarily used as a culinary spice. It brings you the finest selection of methi seeds, which are non for their immense health benefits. These seeds are bitter in taste but lose their bitterness when roasted a little. It is loaded with health benefits, the methi seeds are hygienically packed to ensure they retain their natural goodness and aroma. These seeds can also be used in pureed form for hair growth. It also enhances many liver and heart functions and purifies the blood."
360,Hair Spa Oil Therapy,Hair Care,Prakrta,418.665,440.7,Hair Oil & Serum,5,123,"Champi’ (Oil Massage) is a time tested way to give deep nourishment to your scalp and repair hair texture. Our blend is made of pure extra virgin olive oil, virgin coconut oil, cold pressed oils of blackseed and enriched with therapeutic grade essential oils of rosemary, peppermint and lavender that have potent anti-oxidants and vitamins naturally good for hair and scalp health. Essential oils help stimulate blood flow to your scalp and improve the nourishment to the hair follicle and cold-pressed base oils nourish the scalp. We sincerely recommend that you take about half hour on sundays and instead of feeding your scalp and hair chemicals, use our highly nutritive Hair Spa Oil and we are confident you will love the difference."
361,"Sauce - Bhut Jolokia, Sweet Chilli","Spreads, Sauces, Ketchup",ENE,190.6875,254.25,Chilli & Soya Sauce,5,171,Uses Chilli Puree from the Hotest Chilli in Asia
362,Dry Fruit Mixed Chatpata,"Snacks, Dry Fruits, Nuts",Fresho Signature,168.37,242.95,Dry Fruits & Berries,,185,"Fresho Signature presents an array of dry fruits apart from the ordinary to give you the best of the best to indulge. Want to try something other than a regular fruit? This sweet and spicy dry fruit mix is a healthy alternative to munch on when hunger strikes. It contains papaya, apple, pineapple, mango, black grape, strawberry, sulphurless sugar, cumin seed, black pepper, black salt, citric acid, cinnamon, asafoetida and ginger powder. Easy to carry, it makes a great snack to keep you going throughout the day.

Our spicy candied dry fruit mix is here to be your snack buddy and your healthy sugar high. They are sweetened with sulphurless sugar and liquid glucose and spiced to enhance the zing. There are 0 added preservatives, artificial colour and flavour to retain the original fruit essence and keep it natural and healthy."
363,Organic Coriander Powder,Organic Staples,24 Mantra,54.24,54.24,Organic Masalas & Spices,4.1,129,"One of the most useful essential oil-bearing, as well as a medicinal plant, is Coriandrum sativum L. Coriander powder/ Kothamalli powder/ Kothamailli podi/ Kothamalli thool/ Kottamalli vitai/Methi powder is good for digestion. 24 Mantra Organic Coriander Powder/ Kothamalli powder/ Kothamailli podi/ Kothamalli thool/ Kottamalli vitai/Methi powder is made from unadulterated, organic coriander seeds. The seeds are cleaned and ground into powder."
364,Stainless Steel Induction Base Tope,Steel Utensils,Vinod,450.87,491.55,Bowls & Vessels,4.1,92,"Vinod Introduce 18/8 Stainless Steel Induction Friendly,Ultra Hygienic Pressure Cooker With Long Durable Food Gradable Silicon Gasket."
365,"Adult Cat Food Pocket Tuna 7 kg + Wet Meal Tuna In Jelly, for Adult Cat 1.02 kg",Pet Food & Accessories,Whiskas,2244.858,2508.6,Pet Meals & Treats,,69,"High Quality Ingredients 
Wholegrain Cereals (Corn, Rice, Wheat) - Corn Gluten Meal - Poultry & Poultry By-products - Soy Bean Products (Full-fat Soy Bean, Soy Bean Meal) - Palm Stearin - Ocean Fish - Wheat Flour - Minerals - Iodised Salt - Vitamins - Taurine - Soy Oil - Methionine - Food Colouring -Preservatives - Flavour
  How to Use  Easy-to-open pouch. Whiskas understands what your cat naturally needs and loves. Thats why the Whiskas Wet Meal (Adult - Cat Food) Tuna in Jelly pouches are tasty and contain the same nutrition you have come to expect. Each pouch contains 100 per cent complete and balanced cat food with succulent meaty pieces to help you provide care for your cat"
366,"Pork - Mortadella with Olives, Sliced","Sausages, Bacon & Salami",Fresho Signature,463.752,515.28,Pork & Ham,,89,"Dautore Mortadella with Olives is large Italian sausage made of finely hashed or ground, heat-cured pork. It has at least 15% small cubes of pork flavoured with spices and olives, including whole or ground black pepper, myrtle berries. Manufactured at Italy. Packed as per Customer requirement. Not a standard pack under weights & Measurement Guidelines. Consume within 05 days from date of Packing. Store in refrigerator at or below 05 degree C in an airtight container."
367,Andhra Special Allam/Ginger Pickle,Pickles & Chutney,Delight Foods,237.3,237.3,Other Veg Pickle,2,42,"Contains - Andhra Special Allam - Ginger Pickle 250g. Aromatic & spicy accompaniment with your meal. Spicy Masalas & Pickles are a daily affair in Andhra Pradesh. But you need not go to Andhra to explore their tantalizing & spicy pickle recipes. Authentic Andhra Pickles are just a click away. We bring you the most authentic range of Traditional Andhra Pickles, prepared using the finest ingredients & an age-old recipe to ensure the genuine flavour, aroma & texture. Our pickles are manufactured using only natural ingredients & contain no artificial colours, flavours or preservatives. We have the 5 most popular & exciting flavours - Avakaya(Mango), Allam(Ginger), Gongura, Red chilli & Bitter Gourd. Each variant is an ideal blend of the iconic spice & the main ingredient. Enjoy these flavourful pickles at the comfort of your home. Eat it with curd rice, rice sambar, Indian bread, etc. Veg. Store dry & airtight container. Do not use wet spoon. Best Before 365 days from the date of packing"
368,New Dry Diapers - Medium,Diapers & Wipes,Huggies,439.4344,480.25,Diapers,3.8,164,One of the most important baby care products that you buy for your baby is diapers. A good quality diaper can help keep your baby comfortable during play as well as sleep time. Choose Huggies New Dry Diapers - these diapers are highly absorbent and help in keeping your baby’s skin dry & fresh. These diapers are suitable for your baby’s skin to ensure uninterrupted play and nap time. Huggies New Dry is available in different sizes from Small to Large to suit your baby.
369,Fruit N Fibre Muesli - Mixed Fruit,Breakfast Cereals,Bagrrys,361.6,361.6,Muesli,4.3,150,A delightful muesli for a great start to your day with the perfect balance of whole grains and mixed fruit crush.
370,Basa Fish - Fillet Family Pack,Fish & Seafood,Seastar,563.87,563.87,Frozen Fish & Seafood,,128,"Good Source for Lean Protein, Individually Quick Frozen, Healthy Low Fat Food, Rich in Omega-3 Fatty Acid."
371,Baby Corn - Sweet & Sour,Tinned & Processed Food,Hugo Reitzel ,686.7575,807.95,Tomatoes & Vegetables,5,100,"Reitzel is a family-run business, founded in 1909. In 2005 The subsidiary Reitzel India is created in Bangalore, specialising in gherkin farming in order to create an efficient supply chain. In 2017 The “French Cornichons” and “HUGO” ranges are launched in Switzerland, made from 100% locally grown ingredients. Hugo Reitzel products are prepared and produced in Aigle, in the canton of Vaud. Gherkins, capers, baby corn, jalapenos etc. Over the years, Reitzel has become a recognised specialist in the production of these delicious condiments. When it comes to pickles, the possibilities are endless! And, above all, they’re perfect for every occasion. Hugo Reitzel brings to you a range of food items that will not only satiate your taste buds but will also kill your hunger prangs. Packed with the best of ingredients, these are fresh and delicious. Baby corn is a cereal grain taken from corn harvested early while the stalks are still small and immature. It typically is eaten whole – cob included – in contrast to mature corn, whose cob is too tough for human consumption. It is eaten both raw and cooked. The baby corn is perfectly mixed with vinegar and sugar. Use it for salads, pasta, pizza, good in soup, stir-fried dishes and oriental cuisine.
Legal Disclaimer: While we work to ensure that product information is correct, on occasion manufacturers may alter their ingredient lists. Actual product packaging and materials may contain more and/or different information than that shown on our web site. We recommend that you do not solely rely on the information presented and that you always read labels, warnings, and directions before using or consuming a product. For additional information about a product, please contact the manufacturer."
372,Kool - Badam,Dairy,Amul,22.6,22.6,"Flavoured, Soya Milk",4.2,51,"Amul Kool is a refreshing beverage range with a variety of flavours. Pick up Badam for its unique flavour and enjoy the drink, Hamara cold drink."
373,Creamy Crackers - Original,Chocolates & Biscuits,Sapphire,203.4,203.4,Crackers & Digestive,4.3,151,"Sapphire sugar crackers are the original wheat crackers that are heated to a light and crunchy perfection. These crackers are enormous fun to share, tasty to eat and are also uniquely delicious."
374,Dried - Cranberries 200G + Prunes 200G + Apricots  200G + Blueberries 150G,"Snacks, Dry Fruits, Nuts",Happilo,1446.4,1446.4,Dry Fruits & Berries,,202,"Surprise your taste buds with the delicious taste ofÂ Sweet cranberries. It is perfect for snacking,Â baking,Â mixing into cereal, muffins, smoothies etc   Ready to eat Delicious Prunes contain no pits and are ideal for cooking, snacking or adding to your smoothie, muffins or cereal.Â Not only do prunes taste great, but they are also very good for healthy.   Our Jumbo dried apricots are plump, moist, chewy and vibrant in flavour! Larger apricots like this variety tend to be sweeter and more delicious.   Blueberries are slightly sweetened and ideal for snacking, mixing in cereals, or adding to cakes and muffins. Heart Healthy,Â plump and sweet taste of our dried blueberries,Â will leave your taste buds in paradise."
375,Milly Magic Chocolate Balls - Gluten Free,Breakfast Cereals,Schar,548.05,548.05,Kids Cereal,4,179,"When Milly Magic chocolate balls hop into your cereal bowl, it is truly an easy leap into the new day. Fibres and yummy cocoa - probably the best breakfast combination for all adventurers, big and small. Hop-hop, choco-pop! Time to go!"
376,Millet Based Nutrition Bar - Classic,Cereals & Breakfast,Ah!rogya Bar,22.6,22.6,Cereal & Granola Bars,4,35,Millet based nutrition bar is totally natural and vegetarian. It is one of the healthy options that you can include in your day to day life.It contains 6 gm of protein. Reduce your hunger pangs in a healthy way with this nutrition bar.
377,"Bathroom Cleaner - Liquid, Hand Made",All Purpose Cleaners,Wild Ideas,135.6,135.6,Toilet Cleaners,3.5,139,"Wild Ideas present their all-new range of Hand Made Liquid Castile Bathroom Cleaner topped with the added disinfecting and cleaning properties of Lemon Essential Oil. This cleaner works extremely well on tough stains in the toilet bowl, sinks and tiles. You can use it for cleaning regular surfaces as well."
378,Kodo Millet Rice - Pesticide Free,Dals & Pulses,Safe Harvest,95.0895,96.05,Cereals & Millets,4.1,30,"Safe harvest Kodo Millet Rice is procured from small and marginal farmer producer collectives from South Tamil Nadu. It has been carefully grown to ensure that you get safe food without synthetic pesticides and without using genetically modified seeds. All products of Safe harvest are tested in FSSAI accredited laboratories for the presence of 149 pesticides and a Minimum Residual Level report is obtained. Also, our millet rice is parboiled and unpolished that helps in retaining the essential nutrients. They are easily digestible, highly nutritious, and gluten-free and has a lesser percentage of glucose when compared to rice and thus lowers the risk of diabetes. Kodo millet has 8. 3% protein and 65. 2% carbohydrate when compared to paddy rice that has only 6. 8% protein but 78. 2% carbohydrates. Eating millets is a step towards sustainable cropping practices as millet is not a water-intensive crop like rice or wheat. Kodo millet rice is rich in phytates and thereby helps reduce the risk of cancer. Recommended for making such as Biriyani, Kheer."
379,Amla Juice,Fruit Juices & Drinks,Patanjali,248.6,248.6,Juices,,10,Patanjali Amla Juice is rich in antioxidants and vitamin C. Amla or Indian gooseberry has several health benefits; it is used as skin & hair treatment and improves your immunity and eyesight. This amla juice is absolutely natural and should be taken on an empty stomach.
380,Cheddar - English,Dairy & Cheese,Dairy Craft,598.9,598.9,International Cheese,,15,100% pure vegetarian and natural cheddar with mild creamy flavour. It has a rich tendency to melt in the mouth with a hazelnut flavour.
381,Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g,Oral Care,Clove,230.5087,271.2,Toothpaste,,93,"Clove is your very own dental care expert made by Indians for Indians. Clove Power is an anti-cavity toothpaste that contains a unique formula that freshens breath with the goodness of clove oil. Formulated with Dentist approved ingredients, it helps clean teeth to make them whiter and stronger. It helps reduce the formation of plaque and tartar above the gum line which helps fight against gingivitis, stains, tartar, and cavities. Fluoride gives protection against tooth decay and strengthens teeth. Clove Power has excellent foaming action with smooth & easy flow ensuring it gets to every corner of your whole mouth and fights bacteria on teeth, tongue, cheeks, and gums. Also, it whitens the teeth, protects the enamel and prevents bleeding gums. Say goodbye to bad breath, decay and gum disease as you welcome Clove Power toothpaste. Clove Power has a unique flavour (Clove + Mint) formulated by Symrise, a world-renowned flavouring company based in Germany and manufactured in India by Dabur.
 
Clove is your very own dental care expert made by Indians for Indians. Clove Sensitive helps relieve the sharp or sudden pain caused by sensitive teeth. The toothpaste is formulated with Dentist approved ingredients to provide long-lasting relief from sensitivity and help prevent cavities. With the goodness of clove oil & mint, it helps reduce the formation of plaque and tartar above the gum line and fight against gingivitis, stains, tartar, and cavities. Fluoride gives protection against tooth decay and strengthens teeth. Clove Sensitive has excellent foaming action with smooth & easy flow ensuring it gets to every corner of your whole mouth and fights bacteria on teeth, tongue, cheeks, and gums, enamel protection and prevents bleeding gums. Say goodbye to sensitive teeth and gums as you welcome Clove Sensitive toothpaste. Clove Sensitive has a unique flavour (Clove + Mint) formulated by Symrise, a world-renowned flavouring company based in Germany and manufactured in India by Dabur."
382,"Matcha Moringa Bar Bites - Mini, Gluten-free, Vegan",Chocolates & Biscuits,She made,127.1928,189.84,"Cookies, Biscotti, Wafer",,39,"Healthy and gluten-free Matcha Moringa bar bites are easy options for on-the-go snacking. With the goodness of matcha and moringa, these bites contain antioxidants that support immunity building. Not just that it is also enriched with the wholesome nutrition of almonds, dates, chia seeds, oats and a touch of cinnamon. There are no added preservatives and artificial flavours."
383,Sugar Free Juice - Lemon Ginger Squash,Fruit Juices & Drinks,Diabetics Dezire,372.9,372.9,Juices,,83,"Made from pure lemon juice, fresh ginger &Â Levulose. Direction for use : Add 1 measure of Diabetics Dezire natural lemon squash concentrate to 4 measures of chilled water, enjoy without guilt. For every 20 ml it contains 50 Kcal of energy per serving, 0.10 g of Protein & Fibre, 12 g of Carbohydrates."
384,Wipeout Germ Killing Soap,Bath & Hand Wash,MyGlamm,62.376,77.97,Hand Wash & Sanitizers,4,161,"Rejuvenating and purifying, the WIPEOUT Germ Killing Soap by MyGlamm is the perfect start and finish to a long day. This anti-microbial bathing bar contains nourishing cocoa butter, enriched with germ-killing chlorhexidine with tea tree oil and healing coconut extracts to give you germ-free soft, supple and squeaky clean skin."
385,Jelly Crystal - Raspberry,Cooking & Baking Needs,Puramate,45.765,50.85,"Baking, Cake Decorations",4.4,77,"Jelly is amazing treat on its own as it is so tasty, but jelly is fabulous with some whipped cream or
ice cream and even custard, which together is a classic of the tea-time table. Jelly Crystals is the
best vegetarian dessert. Puramate jelly crystals give you perfect taste, texture & flavour ."
386,Black Tea,Tea,Tetley,175.15,175.15,Tea Bags,4.3,135,"Featuring the finest grade Assam teas, selected by our expert tea masters working their magic for that unique taste you love."
387,Grainy Delight,"Snacks, Dry Fruits, Nuts",Nutriplate,169.5,169.5,Roasted Seeds & Nuts,,82,"Grainy Delight is a roasted multi-millet namkeen which is rich in fibre, protein, iron, calcium and minerals. It is a healthy & tasty snack which you can enjoy any time."
388,"Kitchen Cleaning/Dusting Microfibre Cloth - Grey, G130060GR","Mops, Brushes & Scrubs",Liao,270.296,337.87,Dust Cloth & Wipes,4.3,214,"Keep your kitchen tidy and clean with this grey coloured microfibre cloth. Since the fabric is made using microfibre, it can absorb more water than its weight. It is easy to clean and dry. It traps dirt and filth like a magnet. The fibres are super soft hence makes the cleaning ultra smooth and relaxing."
389,Amla Churna,Health & Medicine,Dabur,90.4,90.4,Ayurveda,,230,Dabur Amla Churna helps to increase Immunity. It has antioxidant properties and is beneficial for eyes. It provides relief from digestive problems like acidity and also from the burning sensation in chest.
390,Professional Herbal Orange Facial Massage Cream,Skin Care,Olivia,216.1125,254.25,Body Care,,214,Want instant glowing skin? Try Olivia Orange Facial Message Cream. It makes your skin flawless and fabulous. Try today and retain your natural glow.
391,Eggless Mayonnaise Dip,"Sauces, Spreads & Dips",HappyChef,134.47,168.37,Salad Dressings,,250,"Happy Chef eggless mayonnaise is a creamy salad dressing completely made using skimmed milk powder without added egg in it. Mayonnaise is a classic French sauce which is used in sandwiches, salads and is a mother sauce for a variety of sauces and dressings.
Created by international chefs, our products are made in small batches to give the authentic flavour that you will relish. Bring out the chef in you with our exciting range of Happy Chef products; sauces, dips and conserves, pasta, baking bars and buttons."
392,Nilgiri Green Tea - Yakuso Tulsi,Drinks & Beverages,Teamonk,593.25,847.5,Gourmet Tea & Tea Bags,,64,"This Nilgiri Green Tea - Yakuso Tulsi helps for weight loss, and enhancing your immunity as it gets you rid of toxins and enhances your metabolism. Enjoy your leisure time savouring this relaxing tea along with your favourite biscuits."
393,"Peri Peri Sauce - Bird Eye Chili, Hot & Tangy","Sauces, Spreads & Dips",Habanero,182.043,202.27,Thai & Asian Sauces,4.1,109,Habaneros versatile Peri Peri Sauce is made using birds-eye chilly that can be used as a tasty marinade or a flavourful sauce and snacks and grilled or barbecued dishes. Peri Peri is one of the most common spice and is ranked as one of the spiciest forms of chilli flavouring.
394,"Menstrual Cup - Wings, Pratham",Feminine Hygiene,Stonesoup,552.57,552.57,Tampons & Menstrual Cups,,50,Stonesoups Menstrual Cups are soft and easy to insert and are recommended for women who have given vaginal birth and leading a sedentary lifestyle. These cups have good suction and are easy to remove and clean. They can be safely worn at night while slepping without fear of leakage.
395,Wonderz Milk Fruit N Milk - Mango,Dairy,Sunfeast,33.6175,39.55,"Flavoured, Soya Milk",4.1,78,"Treat yourself with an exciting tasteful adventure and discover Wonderz of Milk in every sip. Fruit n Milk Mango Drink is a wonderful blend of the goodness of fruit and milk. Made with real mango pulp and mango bits, it promises a delightful experience. This product contains no preservatives and is a low-fat beverage."
396,Cow Ghee/Tuppa,Edible Oils & Ghee,Himalayan Natives,488.16,610.2,Ghee & Vanaspati,3.4,45,"The Original Himalayan Cow ghee is made from the milk of purebred and non-hybrid free-range Himalayan cows that graze exclusively on the mineral-rich Himalayan grass, herbs, and medicinal plants. Our ghee is 100% genuine and is ethically and sustainably sourced. It is also free from preservatives, colours, and chemicals. It possesses a granular texture with an authentic aroma and flavour."
397,"Organic - Black Cardamom Ealachi, Whole",Organic Staples,bb Royal,49.72,53.11,Organic Masalas & Spices,4,201,Black Cardamom Whole by BB Royal Organic is organically cultivated for purity and come filled with brightness and health.
